TWEET # , MESSAGE , MATCH , POLARITY
21, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
22, rc55451 ian313f nbcnews maggienyt yes but they also have a lot of issues because of it look at canada in the province of quebec for example there is a massive job vacancy issue education is free and immigrant come with skills so they cant find anyone to fill the other jobs who require less skills , issues | issue | free | , Negative 
23, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
24, angrierwhstaff im in ontario canada  education minister just announced all schools in ontario closing until aptil 5th  my toddlers daycare amongst themshits getting scary , scary, Negative 
25, ubcpactra meetings in response to the ongoing concerns regarding the covid19 pandemic we are suspendingcancelling all scheduled member education courses and committee meetings until further notice stay uptodate through canadas public health website   , concerns, Negative 
26, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
27, simrans23547770 34 in that case you claim the extra points you can use this comparison table to see what your report means  , No Match, Neutral 
28, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
29, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
30, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
31, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
32, thegordonfdn the reenactment of the signing of a peace and friendship treaty was staged to educate people about the treaties of the 17 , peace, Positive 
33, the reenactment of the signing of a peace and friendship treaty was staged to educate people about the treaties of the 1700s via cbcindigenous  , peace, Positive 
34, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
35, lamey27 sanjg1 bbcr4today mishalhusain meaning since you like researching and stats why dont you research the stats of pakistanis in us canada aus etc and see the numbers and how they outdo indians and everyone else in terms of education professionals money integration contribution etc , like | outdo | contribution | , Positive 
36, ptbocanada breaking the riverview park and zoo will be closed to the public as of saturday march 14 until further notice all park a , breaking, Negative 
37, interested in a job in london on this could be a great fit click the link in our bio to apply clinical education manager  palliative tft 10 at von canada healthcare , great, Positive 
38, education time ontario canada  this man is standing up for your rights  support him  or your freedom will be completely destroyed , support | freedom | , Positive 
39, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
40, zico education seoul music high school attending and also tudied abroad in canada china and japan , No Match, Neutral 
41, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
42, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
43, historicacanada discover how residential schools continue to affect indigenous communities in the present day in our revamped residen , No Match, Neutral 
44, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
45, hellenicheritag  is our new online portal built to support greek language education across canada for educator , support, Positive 
46,  is our new online portal built to support greek language education across canada for educators students amp parents its a onestop platform to connect to greek community groups amp events in your community try it out  video by tentoneproductions  , support, Positive 
47, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
48, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
49, tundetash top 10   sites to learn excel for free  sites for free online education  sites for your career  sites to review your re , top | excel | free | free | , Positive 
50, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
51, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
52, cnalrcaa are you on canadas map of arts amp learning if so we want to hear from you how have you connected with others made partne , No Match, Neutral 
53, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
54, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
55, signing of peace and friendship treaty staged to educate people   , peace, Positive 
56, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
57, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
58, daviddobrik with the whole coronavirus in outbreak my university is one of few in canada that has not been closed down on top of this my tuition has gone up 7 help a sister out and please im begging you help me pay for my education and i will do anything  , outbreak | top | begging | , Negative 
59, most schools in ontario canada are closed because of covid19 rip my education , rip, Negative 
60, historicacanada discover how residential schools continue to affect indigenous communities in the present day in our revamped residen , No Match, Neutral 
61, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
62, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
63, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
64, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
65, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
66, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
67, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
68, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
69, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
70, harmerdan service canada does not make calls like that same scam as the cra education is best , like | scam | best | , Positive 
71, dvaneavis aoc fredguttenberg joebiden canada does not have free tuition but university and college education is far more affordable than the us sweden offers free tuition but not without conditions but all of these were achieved by having consensus and strong government parties that made it happen , free | affordable | free | strong | , Positive 
72, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
73, cbcindigenous signing of peace and friendship treaty staged to educate people  , peace, Positive 
74, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
75, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
76, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
77, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
78, expatriatenl education4libs svdow1 well said sir  in canada we have moved beyond socialism into the realm of communism   we no lon , well, Positive 
79, fngraham hey premierscottmoe if youre bored today you can come join this room of educators learning how to keep a student from kick , bored, Negative 
80, around discussions of closing schools amid covid19 concerns  its not an easy decision coronaviruscanada schoolclosure education  , concerns | easy | , Neutral 
81, nseducation the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days afte , No Match, Neutral 
82, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
83, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
84, the province is directing public sector employees who travel outside canada to stay home and selfisolate for 14 days after returning to the country this includes teachers education and school support staff 1 of 4  , support, Positive 
85, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
86, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
87, breaking the riverview park and zoo will be closed to the public as of saturday march 14 until further notice all park and zoo education programsevents as well as the use of all park and zoo facilities are suspended until further notice , breaking | well | , Neutral 
88, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
89, wgeducation its ok saying for our children not to travel abroad but my daughters school has exchange students from canada arriving should they have not cancelled i am not a happy parent , happy, Positive 
90, gmtyas solmamakwa marcmillervm wait what indigenous ppl in canada face so many systemic barriers which prevent them from accessing education in what world does that blame get shifted back onto them , blame, Negative 
91, the biggest obstacles to genderequality are poverty healthcare education women and girls rights are an inalienable integral and indivisible part of all human rights and fundamental freedoms   , poverty | integral | freedoms | , Positive 
92, rankandfileca more proof ford and lecce are liars who cant be trusted 55000 ontario education workers signed a new deal with pcs la , liars | trusted | , Neutral 
93, historicacanada our revamped education guide residential schools in canada aims to raise awareness of the history of residential sch , No Match, Neutral 
94, trythinking mikeonthebayou flatslugbrains surveyormaine thegoldenrule17 doctorbuttons phyzmr declan6914 skydog59 mcscorpio8 , No Match, Neutral 
95, at the risk of selfpromotion the following book might be useful for small group games at home in case your schools are closed     , risk | useful | , Neutral 
96, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
97, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
98, smc429 johcalgary realdonaldtrump mattgaetz gop shes from canada what does she know of our public education system , No Match, Neutral 
99, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
100, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
101, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
102, andpru drmarcj bjoherrmann direct income supports and transfers to individuals in canada amount to more than 10 of canadas gdp this excludes programs like health education and other government program spending  , supports | like | , Positive 
103, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
104, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
105, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
106, worldpe56580574 leighgt danbalkwill1 monicafibonacci johnmorellibc justinschafer1 rustypennywood 2dratbil becca99564437 ric , No Match, Neutral 
107, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
108, ailishcampbell great talking with tcssdc ryanaward about opportunities for   educational institutions in nigeria the largest ec , great, Positive 
109, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
110, leighgt danbalkwill1 monicafibonacci johnmorellibc justinschafer1 rustypennywood 2dratbil becca99564437 rickhi2315 plhcrawford bal4rednirus brenblake2 sameold2cents1 owingnut gsawision johnsta04633925 canadaunited1 barbaraannew5 pigbruin zaphod57 dawsonmdhoust ronkorkut canukcookie johnall63815927 cheryl1492 gbobke mrsteplitz justice4flynn pantonenko2 fnongrata whelanmj paddyhullabaloo jennifercirka nottoday1701 adamharrycassi1 truebluecanadi1 baletowncrawl moonshi84280504 ivanhansenivan kromski1 lassiter1550 kieserbill lovemtb fuzzysockzz rkdickie1 victoria59l myearwood65 albertacanadien evansolomonshow leslynlewis not sure youre thoughts are going to be on the race of your doctor when you are in icu on your last breath i agree canada should give free education in some sectors in need of more professionalsbut race or color shouldnt matter when quality of care is concerned , free | concerned | , Neutral 
111, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
112, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
113, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
114, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
115, goodgravygoose washington is consistently rated at or near the top of all states in economy quality of life and education are we perfect no neither are denmark or canada but were certainly better than say west virginia and kentucky , consistently | top | perfect | better | , Positive 
116, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
117, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
118, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
119, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
120, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
121, mikeonthebayou flatslugbrains surveyormaine thegoldenrule17 doctorbuttons phyzmr declan6914 skydog59 mcscorpio81 splintersimba keighsee badibulgator laikaandyuri freak0nline palealewitch1 imkimaaron uncastellsmes keithad92926261 cyal8er3 theupriser1 beeeelzebub888 mrreali05459432 captainswoop1 maxsec alexisonfire303 crazzy882 noerroroccurred bigfootrule geistastro j5project jlinnation kompromat9 stopannoyindave whoopsbuni djignyte danielb59756947 swingthehammer2 destroyfe kanchristo callmeeonly nelsonmkerr happybiggrin twatterfull z3r0n0ns3ns3 flathorizon maximthrax decatur941 quizically99 denzildamon phyadd is that what level keigh teaches her children in the education system in canada  , No Match, Neutral 
122, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
123, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
124, ctvnews so i can tell by the comments that canadians are stupid enough to get a vaccine with the virus in them lol yet they dont want to catch the virus or test  for it like i said before canada 1 in education 1 in stupidity and 1 joke in the world , stupid | enough | virus | virus | like | stupidity | joke | , Negative 
125, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
126, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
127, samuelsgraham hilitinghockey emgfind people need to vote both these premiers out in the next election its so disheartening to see , disheartening, Negative 
128, behr98 complex canada was one of the largest exporters of asbestos in the world the majority of this went to third world countries that had neither the equipment nor the education to safely handle the carcinogenic mineral 58 countries have already banned asbestos canada has not yet done so , complex | safely | , Neutral 
129, sfss1 the wuscsfu needs your support to continue sponsoring refugee students the studentled club gives displaced students the oppor , support | displaced | , Neutral 
130, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
131, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
132, spikestabber v3aqf3o8dn2ef2h realdonaldtrump sadly we cant even tell who is who in canada anymore real expat chinese looking for a , sadly, Negative 
133, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
134, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
135, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
136, yahushua9 canada 1 in education 1 in stupidity 1 in ignorance everytime ctv posts something the canadians eat it up like kraft , stupidity | ignorance | like | , Negative 
137, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
138, the signing of a peace and friendship treaty was reenacted in languages the original wabanaki signers would have appreciated at a gathering thursday aimed at educating people about the treaties of the 1700s    , peace | appreciated | , Positive 
139, historicacanada our revamped education guide residential schools in canada aims to raise awareness of the history of residential sch , No Match, Neutral 
140, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
141, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
142, see how microsoft s powerful devices and tools work with our it solutions to help drive digitaltransformation  microsoftedu canada  , powerful | work | , Positive 
143, oreofeoluwaseyi work and study in canada   snowfox is a canadian education consulting firm registered with the corporate affairs commi , work, Positive 
144, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
145, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
146, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
147, use statistics from the government of canada to analyze the number of refugees and asylum seekers accepted by each province nfbeducation   , No Match, Neutral 
148, over 300 avalon graduates are in postgraduate residency training and medical practice across the united states canada and around the world visit now  avalonuniversity school medicine fridayvibes fridaymotivation studygram student education  , No Match, Neutral 
149, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
150, counseling internship in multiple locations at canada education connect  , No Match, Neutral 
151, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
152, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
153, oreofeoluwaseyi work and study in canada   snowfox is a canadian education consulting firm registered with the corporate affairs commi , work, Positive 
154, samuelsgraham hilitinghockey emgfind people need to vote both these premiers out in the next election its so disheartening to see , disheartening, Negative 
155, calling all youth in canada sign up for the experience of a lifetime with the cnib national score program put down the textbooks and join us for an allexpensespaid opportunity learn and develop skills to pursue postsecondary education apply online   , No Match, Neutral 
156, nsdcs dyk your child could be eligible for up to 2000 for postsecondary education through the canada learning bond if eligible , No Match, Neutral 
157, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
158, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
159, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
160, historicacanada our revamped education guide residential schools in canada aims to raise awareness of the history of residential sch , No Match, Neutral 
161, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
162, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
163, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
164, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
165, historicacanada discover how residential schools continue to affect indigenous communities in the present day in our revamped residen , No Match, Neutral 
166, the wuscsfu needs your support to continue sponsoring refugee students the studentled club gives displaced students the opportunity to complete their education in canada and they need additional revenue to continue their important work learn more  , support | displaced | important | work | , Positive 
167, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
168, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
169, samuelsgraham hilitinghockey emgfind people need to vote both these premiers out in the next election its so disheartening to see , disheartening, Negative 
170, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
171, education4libs svdow1 well said sir  in canada we have moved beyond socialism into the realm of communism   we no longer have a free press freedom of speech is a myth amp those who practice it get targeted  education is nothing but feel good social sciences or divide amp conquer  nonconfidence2020  , well | free | freedom | myth | good | , Positive 
172, were helping students across canada overcome obstacles learn how   microsoft learning tools are helping students thrive at louis riel school division  you can support students with dyslexia succeed  you can take actions for your students   , helping | helping | thrive | support | succeed | , Positive 
173, nextfounders applications are open accelerate your growth by getting mentorship access to investors and unparalleled enterpreneurial education taught by worldclass faculty  apply now before the march 18 deadline   nextcanada , unparalleled, Positive 
174, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
175, new stateoftheart marine simulator unveiled at georgians owen sound campus thanks to 540000 donation from canada steamship lines georgiancollege    ontario education , No Match, Neutral 
176, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
177, i too am canadian and am so grateful for my prime minister my education standards my health care my charter of rights and the breathtaking scenery canada offers a legal system that isnt being overwhelmed by partisan rigging and i can freely vote when its time  , grateful | breathtaking | overwhelmed | partisan | , Neutral 
178, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
179, anniegirl1138 maybe alberta feels that since theyre cutting education funding so much its pretty much the same thing as closing all the schools  but then i keep seeing alta folks saying canada should copy the usa covid19 response  so this isnt really a surprise , pretty, Positive 
180, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
181, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
182, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
183, watkinsbs startupcanada ceridian a8  some of ours are tsheets quickbooksca wagepoint amp of course education about payroll throu , No Match, Neutral 
184, startupcanada ceridian a8  some of ours are tsheets quickbooksca wagepoint amp of course education about payroll through cdnpayroll startupchats , No Match, Neutral 
185, samuelsgraham hilitinghockey emgfind people need to vote both these premiers out in the next election its so disheartening to see , disheartening, Negative 
186, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
187, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
188, nsdcs dyk your child could be eligible for up to 2000 for postsecondary education through the canada learning bond if eligible , No Match, Neutral 
189, kamal9001 i did not say he has a political purpose i said he is belonging to a thinking school due to his education place of birth and entourage many arabs born or living in western countries are ashamed of being 100 arabs and i live in canada so they adapt their thoughts , ashamed, Negative 
190, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
191, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
192, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
193, we will get through this some of canadas biggest money managers on what to make of the market spiral   cash qrcode cryptocurrency asset education smartmoneymanagement smartmoneym coin business latestmoneytrends  , No Match, Neutral 
194, how will ontarios school closures impact studentskids surviving on breakfastlunch progms like studentnutrion have provinces considered this education covid19canada cbcnews vassykapelos sflecce maritstiles harryforestell rosiebarton voncanada cheridinovo , like, Positive 
195, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
196, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
197, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
198, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
199, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
200, canlibertarian apparently those in charge of the education system in this country dont realize we live in the internet age getting , No Match, Neutral 
201, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
202, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
203, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
204, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
205, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
206, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
207, are you on canadas map of arts amp learning if so we want to hear from you how have you connected with others made partnerships or collaborated through using the map share your story with us here   artsed artseducation education learn learning  , No Match, Neutral 
208, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
209, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
210, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
211, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
212, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
213, rally4resources they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  700 , worked | benefits | , Positive 
214, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
215, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
216, they also worked against  14 indigenous communities that wouldve benefited  40 years of economic benefits  7000 jobs during peak construction  2500 long term jobs  70 billion in govt revenue that would pay for education and healthcare in canada  , worked | benefits | , Positive 
217, you show me an opportunity to make money off the needs of the masses ie universal healthcare education shelter livable wages paid leave justice clean air amp water etc  show me this  and ill show you the charactersoul of a mannation   , clean, Positive 
218, historicacanada discover how residential schools continue to affect indigenous communities in the present day in our revamped residen , No Match, Neutral 
219, samuelsgraham hilitinghockey emgfind people need to vote both these premiers out in the next election its so disheartening to see , disheartening, Negative 
220, historicacanada our new education guide residential schools in canada aims to raise awareness of the history of residential schools , No Match, Neutral 
221, finally i was reminded that autobiography is better than biography allow students to debrief the learning by building on their shared experiences   thank you natbanting we are lucky to have you as an advocate for math education in sk and in canada end , better | thank | lucky | advocate | , Positive 
222, v3aqf3o8dn2ef2h realdonaldtrump sadly we cant even tell who is who in canada anymore real expat chinese looking for a better life or well funded globalization opportunists looking to funnel money outside of china via efforts lead by international student education , sadly | better | well | lead | , Positive 
223, see how microsoft s powerful devices and tools work with our it solutions to help drive digitaltransformation  microsoftedu canada  , powerful | work | , Positive 
224, captaindick12 canadian scientists make covid19 research breakthrough isolating virus   only in canada these , breakthrough | virus | , Neutral 
