Term , canada
Article #402 , 116 , 1
Article #403 , 118 , 1
Article #404 , 116 , 1
Article #405 , 115 , 1
Article #406 , 73 , 3
Article #407 , 111 , 4
Article #413 , 97 , 5
Article #417 , 89 , 1
Article #418 , 91 , 1
Article #421 , 96 , 2
Article #422 , 109 , 2
Article #426 , 82 , 2
Article #429 , 109 , 2
Article #431 , 106 , 2
Article #433 , 89 , 1
Article #434 , 61 , 2
Article #443 , 102 , 1
Article #444 , 111 , 2
Article #445 , 80 , 2
Article #446 , 108 , 1
Article #447 , 93 , 1
Article #450 , 82 , 1
Article #451 , 110 , 2
Article #454 , 80 , 1
Article #456 , 93 , 3
Article #461 , 100 , 1
Article #462 , 102 , 4
Article #463 , 110 , 2
Article #464 , 128 , 1
Article #470 , 97 , 2
Article #475 , 97 , 1
Article #476 , 100 , 2
Article #478 , 104 , 2
Article #480 , 101 , 3
Article #485 , 85 , 1
Article #487 , 103 , 2
Article #488 , 100 , 1
Article #494 , 107 , 1
Article #495 , 82 , 1
Article #502 , 106 , 1
Article #503 , 79 , 1
Article #507 , 88 , 2
Article #508 , 82 , 1
Article #513 , 105 , 2
Article #514 , 114 , 3
Article #516 , 105 , 2
Article #517 , 111 , 1
Article #518 , 97 , 2
Article #524 , 83 , 1
Article #529 , 103 , 3
Article #536 , 91 , 1
Article #563 , 83 , 2
Article #566 , 77 , 1
Article #573 , 89 , 2
Article #574 , 80 , 2
Article #577 , 106 , 1
Article #578 , 92 , 2
Article #582 , 87 , 1
Article #589 , 84 , 1
Article #592 , 102 , 2
Article #598 , 107 , 2
Article #605 , 108 , 2
Article #608 , 107 , 1
Article #610 , 109 , 1
Article #616 , 108 , 2
Article #629 , 107 , 1
Article #633 , 114 , 1
Article #636 , 115 , 2
Article #643 , 116 , 1
Article #652 , 106 , 3
Article #655 , 111 , 1
Article #656 , 116 , 1
Article #657 , 105 , 3
Article #659 , 120 , 2
Article #661 , 105 , 1
Article #662 , 111 , 1
Article #666 , 116 , 1
Article #671 , 109 , 4
Article #682 , 109 , 1
Article #688 , 112 , 2
Article #691 , 101 , 1
Article #694 , 103 , 2
Article #695 , 81 , 1
Article #696 , 128 , 2
Article #700 , 102 , 2
Article #701 , 110 , 7
Article #703 , 111 , 5
Article #704 , 110 , 5
Article #705 , 107 , 2
Article #706 , 117 , 5
Article #707 , 125 , 6
Article #709 , 112 , 7
Article #710 , 66 , 5
Article #711 , 105 , 1
Article #712 , 104 , 2
Article #715 , 106 , 3
Article #716 , 111 , 1
Article #717 , 121 , 2
Article #718 , 114 , 3
Article #719 , 108 , 4
Article #720 , 114 , 5
Article #721 , 97 , 2
Article #722 , 113 , 4
Article #723 , 105 , 2
Article #724 , 60 , 2
Article #725 , 109 , 5
Article #726 , 108 , 2
Article #727 , 90 , 3
Article #728 , 105 , 3
Article #729 , 85 , 5
Article #730 , 105 , 3
Article #731 , 83 , 2
Article #732 , 64 , 3
Article #735 , 94 , 2
Article #736 , 114 , 1
Article #737 , 114 , 1
Article #738 , 112 , 3
Article #739 , 111 , 3
Article #740 , 106 , 1
Article #741 , 101 , 4
Article #742 , 119 , 2
Article #744 , 71 , 2
Article #745 , 115 , 2
Article #746 , 109 , 4
Article #747 , 110 , 3
Article #748 , 105 , 3
Article #749 , 110 , 4
Article #750 , 114 , 3
Article #751 , 114 , 1
Article #752 , 107 , 4
Article #753 , 106 , 2
Article #754 , 109 , 4
Article #755 , 91 , 2
Article #756 , 107 , 4
Article #757 , 120 , 2
Article #758 , 107 , 1
Article #759 , 111 , 3
Article #760 , 109 , 4
Article #761 , 104 , 2
Article #762 , 101 , 2
Article #763 , 66 , 2
Article #764 , 114 , 2
Article #765 , 114 , 3
Article #766 , 100 , 3
Article #767 , 89 , 1
Article #768 , 118 , 3
Article #770 , 99 , 2
Article #771 , 108 , 4
Article #772 , 102 , 2
Article #773 , 98 , 2
Article #774 , 93 , 2
Article #775 , 105 , 1
Article #776 , 111 , 3
Article #778 , 115 , 2
Article #779 , 102 , 2
Article #780 , 104 , 3
Article #781 , 101 , 1
Article #782 , 103 , 2
Article #783 , 106 , 2
Article #784 , 104 , 2
Article #785 , 112 , 3
Article #786 , 112 , 3
Article #787 , 115 , 2
Article #788 , 117 , 3
Article #789 , 101 , 3
Article #790 , 106 , 3
Article #791 , 112 , 2
Article #792 , 111 , 2
Article #793 , 116 , 2
Article #794 , 101 , 1
Article #802 , 107 , 1
Article #808 , 109 , 2
Article #817 , 102 , 1
Article #834 , 102 , 2
Article #843 , 95 , 2
Article #850 , 89 , 2
Article #859 , 109 , 3
Article #871 , 73 , 2
Article #883 , 95 , 1
Article #885 , 88 , 2
Article #930 , 99 , 2
Article #937 , 101 , 3
Article #938 , 106 , 1
Article #996 , 102 , 2
Article #1001 , 112 , 2
Article #1016 , 101 , 2
Article #1017 , 93 , 3
Article #1021 , 101 , 1
Article #1025 , 89 , 2
Article #1026 , 80 , 3
Article #1029 , 99 , 3
Article #1032 , 102 , 2
Article #1036 , 94 , 2
Article #1040 , 93 , 1
Article #1043 , 95 , 3
Article #1044 , 100 , 1
Article #1048 , 103 , 1
Article #1056 , 97 , 2
Article #1058 , 96 , 1
Article #1060 , 104 , 2
Article #1063 , 104 , 2
Article #1071 , 110 , 3
Article #1088 , 107 , 4
Article #1091 , 114 , 1
Article #1093 , 111 , 1
Article #1094 , 100 , 3
Article #1095 , 116 , 1
Article #1096 , 118 , 1
Article #1097 , 116 , 1
Article #1098 , 115 , 1
Article #1099 , 73 , 3
Article #1100 , 111 , 4
Article #1106 , 97 , 5
Article #1110 , 89 , 1
Article #1111 , 91 , 1
Article #1114 , 96 , 2
Article #1115 , 109 , 2
Article #1119 , 82 , 2
Article #1122 , 109 , 2
Article #1124 , 106 , 2
Article #1126 , 89 , 1
Article #1127 , 61 , 2
Article #1136 , 102 , 1
Article #1137 , 111 , 2
Article #1138 , 80 , 2
Article #1139 , 108 , 1
Article #1140 , 93 , 1
Article #1143 , 82 , 1
Article #1144 , 110 , 2
Article #1147 , 80 , 1
Article #1149 , 93 , 3
Article #1154 , 100 , 1
Article #1155 , 102 , 4
Article #1156 , 110 , 2
Article #1157 , 128 , 1
Article #1163 , 97 , 2
Article #1167 , 97 , 1
Article #1169 , 100 , 2
Article #1171 , 104 , 2
Article #1173 , 101 , 3
Article #1178 , 85 , 1
Article #1180 , 103 , 2
Article #1181 , 100 , 1
Article #1187 , 107 , 1
Article #1188 , 82 , 1
Article #1195 , 106 , 1
Article #1196 , 79 , 1
Article #1200 , 88 , 2
Article #1201 , 82 , 1
Article #1206 , 105 , 2
Article #1207 , 114 , 3
Article #1209 , 105 , 2
Article #1210 , 111 , 1
Article #1211 , 97 , 2
Article #1217 , 83 , 1
Article #1222 , 103 , 3
Article #1229 , 91 , 1
Article #1256 , 83 , 2
Article #1259 , 77 , 1
Article #1266 , 80 , 2
Article #1267 , 89 , 2
Article #1270 , 106 , 1
Article #1271 , 92 , 2
Article #1275 , 87 , 1
Article #1282 , 84 , 1
Article #1285 , 102 , 2
Article #1291 , 107 , 2
Article #1298 , 108 , 2
Article #1301 , 107 , 1
Article #1303 , 109 , 1
Article #1309 , 108 , 2
Article #1322 , 107 , 1
Article #1326 , 114 , 1
Article #1333 , 116 , 1
Article #1337 , 115 , 2
Article #1345 , 106 , 3
Article #1348 , 111 , 1
Article #1349 , 116 , 1
Article #1350 , 105 , 3
Article #1352 , 120 , 2
Article #1354 , 105 , 1
Article #1355 , 111 , 1
Article #1359 , 116 , 1
Article #1364 , 109 , 4
Article #1375 , 109 , 1
Article #1381 , 112 , 2
Article #1384 , 101 , 1
Term , canada
canada appeared in 412 documents , Total Words(m) , Frequency (f)
Article #1 , 103 , 2
Article #2 , 81 , 1
Article #3 , 128 , 2
Article #7 , 102 , 2
Article #8 , 110 , 7
Article #10 , 111 , 5
Article #11 , 110 , 5
Article #12 , 107 , 2
Article #13 , 117 , 5
Article #14 , 125 , 6
Article #16 , 112 , 7
Article #17 , 66 , 5
Article #18 , 105 , 1
Article #19 , 104 , 2
Article #22 , 106 , 3
Article #23 , 111 , 1
Article #24 , 121 , 2
Article #25 , 114 , 3
Article #26 , 108 , 4
Article #27 , 114 , 5
Article #28 , 97 , 2
Article #29 , 113 , 4
Article #30 , 105 , 2
Article #31 , 60 , 2
Article #32 , 109 , 5
Article #33 , 108 , 2
Article #34 , 90 , 3
Article #35 , 105 , 3
Article #36 , 85 , 5
Article #37 , 105 , 3
Article #38 , 83 , 2
Article #39 , 64 , 3
Article #42 , 94 , 2
Article #43 , 114 , 1
Article #44 , 114 , 1
Article #45 , 112 , 3
Article #46 , 111 , 3
Article #47 , 106 , 1
Article #48 , 101 , 4
Article #49 , 119 , 2
Article #51 , 71 , 2
Article #52 , 115 , 2
Article #53 , 109 , 4
Article #54 , 110 , 3
Article #55 , 105 , 3
Article #56 , 110 , 4
Article #57 , 114 , 3
Article #58 , 114 , 1
Article #59 , 107 , 4
Article #60 , 106 , 2
Article #61 , 109 , 4
Article #62 , 91 , 2
Article #63 , 107 , 4
Article #64 , 120 , 2
Article #65 , 107 , 1
Article #66 , 111 , 3
Article #67 , 109 , 4
Article #68 , 104 , 2
Article #69 , 101 , 2
Article #70 , 66 , 2
Article #71 , 114 , 2
Article #72 , 114 , 3
Article #73 , 100 , 3
Article #74 , 89 , 1
Article #75 , 118 , 3
Article #77 , 99 , 2
Article #78 , 108 , 4
Article #79 , 102 , 2
Article #80 , 98 , 2
Article #81 , 93 , 2
Article #82 , 105 , 1
Article #83 , 111 , 3
Article #85 , 115 , 2
Article #86 , 102 , 2
Article #87 , 104 , 3
Article #88 , 101 , 1
Article #89 , 103 , 2
Article #90 , 106 , 2
Article #91 , 104 , 2
Article #92 , 112 , 3
Article #93 , 112 , 3
Article #94 , 115 , 2
Article #95 , 117 , 3
Article #96 , 101 , 3
Article #97 , 106 , 3
Article #98 , 112 , 2
Article #99 , 111 , 2
Article #100 , 116 , 2
Article #101 , 101 , 1
Article #109 , 107 , 1
Article #115 , 109 , 2
Article #124 , 102 , 1
Article #141 , 102 , 2
Article #150 , 95 , 2
Article #157 , 89 , 2
Article #166 , 109 , 3
Article #178 , 73 , 2
Article #190 , 95 , 1
Article #192 , 88 , 2
Article #237 , 99 , 2
Article #244 , 101 , 3
Article #245 , 106 , 1
Article #303 , 102 , 2
Article #308 , 112 , 2
Article #323 , 101 , 2
Article #324 , 93 , 3
Article #328 , 101 , 1
Article #332 , 89 , 2
Article #333 , 80 , 3
Article #336 , 99 , 3
Article #339 , 102 , 2
Article #343 , 94 , 2
Article #347 , 93 , 1
Article #350 , 95 , 3
Article #351 , 100 , 1
Article #355 , 103 , 1
Article #363 , 97 , 2
Article #365 , 96 , 1
Article #367 , 104 , 2
Article #370 , 104 , 2
Article #378 , 110 , 3
Article #395 , 107 , 4
Article #398 , 114 , 1
Article #400 , 111 , 1
Article #401 , 100 , 3
Article #402 , 116 , 1
Article #403 , 118 , 1
Article #404 , 116 , 1
Article #405 , 115 , 1
Article #406 , 73 , 3
Article #407 , 111 , 4
Article #413 , 97 , 5
Article #417 , 89 , 1
Article #418 , 91 , 1
Article #421 , 96 , 2
Article #422 , 109 , 2
Article #426 , 82 , 2
Article #429 , 109 , 2
Article #431 , 106 , 2
Article #433 , 89 , 1
Article #434 , 61 , 2
Article #443 , 102 , 1
Article #444 , 111 , 2
Article #445 , 80 , 2
Article #446 , 108 , 1
Article #447 , 93 , 1
Article #450 , 82 , 1
Article #451 , 110 , 2
Article #454 , 80 , 1
Article #456 , 93 , 3
Article #461 , 100 , 1
Article #462 , 102 , 4
Article #463 , 110 , 2
Article #464 , 128 , 1
Article #470 , 97 , 2
Article #475 , 97 , 1
Article #476 , 100 , 2
Article #478 , 104 , 2
Article #480 , 101 , 3
Article #485 , 85 , 1
Article #487 , 103 , 2
Article #488 , 100 , 1
Article #494 , 107 , 1
Article #495 , 82 , 1
Article #502 , 106 , 1
Article #503 , 79 , 1
Article #507 , 88 , 2
Article #508 , 82 , 1
Article #513 , 105 , 2
Article #514 , 114 , 3
Article #516 , 105 , 2
Article #517 , 111 , 1
Article #518 , 97 , 2
Article #524 , 83 , 1
Article #529 , 103 , 3
Article #536 , 91 , 1
Article #563 , 83 , 2
Article #566 , 77 , 1
Article #573 , 89 , 2
Article #574 , 80 , 2
Article #577 , 106 , 1
Article #578 , 92 , 2
Article #582 , 87 , 1
Article #589 , 84 , 1
Article #592 , 102 , 2
Article #598 , 107 , 2
Article #605 , 108 , 2
Article #608 , 107 , 1
Article #610 , 109 , 1
Article #616 , 108 , 2
Article #629 , 107 , 1
Article #633 , 114 , 1
Article #636 , 115 , 2
Article #643 , 116 , 1
Article #652 , 106 , 3
Article #655 , 111 , 1
Article #656 , 116 , 1
Article #657 , 105 , 3
Article #659 , 120 , 2
Article #661 , 105 , 1
Article #662 , 111 , 1
Article #666 , 116 , 1
Article #671 , 109 , 4
Article #682 , 109 , 1
Article #688 , 112 , 2
Article #691 , 101 , 1
Article #694 , 103 , 2
Article #695 , 81 , 1
Article #696 , 128 , 2
Article #700 , 102 , 2
Article #701 , 110 , 7
Article #703 , 111 , 5
Article #704 , 110 , 5
Article #705 , 107 , 2
Article #706 , 117 , 5
Article #707 , 125 , 6
Article #709 , 112 , 7
Article #710 , 66 , 5
Article #711 , 105 , 1
Article #712 , 104 , 2
Article #715 , 106 , 3
Article #716 , 111 , 1
Article #717 , 121 , 2
Article #718 , 114 , 3
Article #719 , 108 , 4
Article #720 , 114 , 5
Article #721 , 97 , 2
Article #722 , 113 , 4
Article #723 , 105 , 2
Article #724 , 60 , 2
Article #725 , 109 , 5
Article #726 , 108 , 2
Article #727 , 90 , 3
Article #728 , 105 , 3
Article #729 , 85 , 5
Article #730 , 105 , 3
Article #731 , 83 , 2
Article #732 , 64 , 3
Article #735 , 94 , 2
Article #736 , 114 , 1
Article #737 , 114 , 1
Article #738 , 112 , 3
Article #739 , 111 , 3
Article #740 , 106 , 1
Article #741 , 101 , 4
Article #742 , 119 , 2
Article #744 , 71 , 2
Article #745 , 115 , 2
Article #746 , 109 , 4
Article #747 , 110 , 3
Article #748 , 105 , 3
Article #749 , 110 , 4
Article #750 , 114 , 3
Article #751 , 114 , 1
Article #752 , 107 , 4
Article #753 , 106 , 2
Article #754 , 109 , 4
Article #755 , 91 , 2
Article #756 , 107 , 4
Article #757 , 120 , 2
Article #758 , 107 , 1
Article #759 , 111 , 3
Article #760 , 109 , 4
Article #761 , 104 , 2
Article #762 , 101 , 2
Article #763 , 66 , 2
Article #764 , 114 , 2
Article #765 , 114 , 3
Article #766 , 100 , 3
Article #767 , 89 , 1
Article #768 , 118 , 3
Article #770 , 99 , 2
Article #771 , 108 , 4
Article #772 , 102 , 2
Article #773 , 98 , 2
Article #774 , 93 , 2
Article #775 , 105 , 1
Article #776 , 111 , 3
Article #778 , 115 , 2
Article #779 , 102 , 2
Article #780 , 104 , 3
Article #781 , 101 , 1
Article #782 , 103 , 2
Article #783 , 106 , 2
Article #784 , 104 , 2
Article #785 , 112 , 3
Article #786 , 112 , 3
Article #787 , 115 , 2
Article #788 , 117 , 3
Article #789 , 101 , 3
Article #790 , 106 , 3
Article #791 , 112 , 2
Article #792 , 111 , 2
Article #793 , 116 , 2
Article #794 , 101 , 1
Article #802 , 107 , 1
Article #808 , 109 , 2
Article #817 , 102 , 1
Article #834 , 102 , 2
Article #843 , 95 , 2
Article #850 , 89 , 2
Article #859 , 109 , 3
Article #871 , 73 , 2
Article #883 , 95 , 1
Article #885 , 88 , 2
Article #930 , 99 , 2
Article #937 , 101 , 3
Article #938 , 106 , 1
Article #996 , 102 , 2
Article #1001 , 112 , 2
Article #1016 , 101 , 2
Article #1017 , 93 , 3
Article #1021 , 101 , 1
Article #1025 , 89 , 2
Article #1026 , 80 , 3
Article #1029 , 99 , 3
Article #1032 , 102 , 2
Article #1036 , 94 , 2
Article #1040 , 93 , 1
Article #1043 , 95 , 3
Article #1044 , 100 , 1
Article #1048 , 103 , 1
Article #1056 , 97 , 2
Article #1058 , 96 , 1
Article #1060 , 104 , 2
Article #1063 , 104 , 2
Article #1071 , 110 , 3
Article #1088 , 107 , 4
Article #1091 , 114 , 1
Article #1093 , 111 , 1
Article #1094 , 100 , 3
Article #1095 , 116 , 1
Article #1096 , 118 , 1
Article #1097 , 116 , 1
Article #1098 , 115 , 1
Article #1099 , 73 , 3
Article #1100 , 111 , 4
Article #1106 , 97 , 5
Article #1110 , 89 , 1
Article #1111 , 91 , 1
Article #1114 , 96 , 2
Article #1115 , 109 , 2
Article #1119 , 82 , 2
Article #1122 , 109 , 2
Article #1124 , 106 , 2
Article #1126 , 89 , 1
Article #1127 , 61 , 2
Article #1136 , 102 , 1
Article #1137 , 111 , 2
Article #1138 , 80 , 2
Article #1139 , 108 , 1
Article #1140 , 93 , 1
Article #1143 , 82 , 1
Article #1144 , 110 , 2
Article #1147 , 80 , 1
Article #1149 , 93 , 3
Article #1154 , 100 , 1
Article #1155 , 102 , 4
Article #1156 , 110 , 2
Article #1157 , 128 , 1
Article #1163 , 97 , 2
Article #1167 , 97 , 1
Article #1169 , 100 , 2
Article #1171 , 104 , 2
Article #1173 , 101 , 3
Article #1178 , 85 , 1
Article #1180 , 103 , 2
Article #1181 , 100 , 1
Article #1187 , 107 , 1
Article #1188 , 82 , 1
Article #1195 , 106 , 1
Article #1196 , 79 , 1
Article #1200 , 88 , 2
Article #1201 , 82 , 1
Article #1206 , 105 , 2
Article #1207 , 114 , 3
Article #1209 , 105 , 2
Article #1210 , 111 , 1
Article #1211 , 97 , 2
Article #1217 , 83 , 1
Article #1222 , 103 , 3
Article #1229 , 91 , 1
Article #1256 , 83 , 2
Article #1259 , 77 , 1
Article #1266 , 80 , 2
Article #1267 , 89 , 2
Article #1270 , 106 , 1
Article #1271 , 92 , 2
Article #1275 , 87 , 1
Article #1282 , 84 , 1
Article #1285 , 102 , 2
Article #1291 , 107 , 2
Article #1298 , 108 , 2
Article #1301 , 107 , 1
Article #1303 , 109 , 1
Article #1309 , 108 , 2
Article #1322 , 107 , 1
Article #1326 , 114 , 1
Article #1333 , 116 , 1
Article #1337 , 115 , 2
Article #1345 , 106 , 3
Article #1348 , 111 , 1
Article #1349 , 116 , 1
Article #1350 , 105 , 3
Article #1352 , 120 , 2
Article #1354 , 105 , 1
Article #1355 , 111 , 1
Article #1359 , 116 , 1
Article #1364 , 109 , 4
Article #1375 , 109 , 1
Article #1381 , 112 , 2
Article #1384 , 101 , 1
Term , canada
canada appeared in 412 documents , Total Words(m) , Frequency (f)
Article #1 , 103 , 2
Article #2 , 81 , 1
Article #3 , 128 , 2
Article #7 , 102 , 2
Article #8 , 110 , 7
Article #10 , 111 , 5
Article #11 , 110 , 5
Article #12 , 107 , 2
Article #13 , 117 , 5
Article #14 , 125 , 6
Article #16 , 112 , 7
Article #17 , 66 , 5
Article #18 , 105 , 1
Article #19 , 104 , 2
Article #22 , 106 , 3
Article #23 , 111 , 1
Article #24 , 121 , 2
Article #25 , 114 , 3
Article #26 , 108 , 4
Article #27 , 114 , 5
Article #28 , 97 , 2
Article #29 , 113 , 4
Article #30 , 105 , 2
Article #31 , 60 , 2
Article #32 , 109 , 5
Article #33 , 108 , 2
Article #34 , 90 , 3
Article #35 , 105 , 3
Article #36 , 85 , 5
Article #37 , 105 , 3
Article #38 , 83 , 2
Article #39 , 64 , 3
Article #42 , 94 , 2
Article #43 , 114 , 1
Article #44 , 114 , 1
Article #45 , 112 , 3
Article #46 , 111 , 3
Article #47 , 106 , 1
Article #48 , 101 , 4
Article #49 , 119 , 2
Article #51 , 71 , 2
Article #52 , 115 , 2
Article #53 , 109 , 4
Article #54 , 110 , 3
Article #55 , 105 , 3
Article #56 , 110 , 4
Article #57 , 114 , 3
Article #58 , 114 , 1
Article #59 , 107 , 4
Article #60 , 106 , 2
Article #61 , 109 , 4
Article #62 , 91 , 2
Article #63 , 107 , 4
Article #64 , 120 , 2
Article #65 , 107 , 1
Article #66 , 111 , 3
Article #67 , 109 , 4
Article #68 , 104 , 2
Article #69 , 101 , 2
Article #70 , 66 , 2
Article #71 , 114 , 2
Article #72 , 114 , 3
Article #73 , 100 , 3
Article #74 , 89 , 1
Article #75 , 118 , 3
Article #77 , 99 , 2
Article #78 , 108 , 4
Article #79 , 102 , 2
Article #80 , 98 , 2
Article #81 , 93 , 2
Article #82 , 105 , 1
Article #83 , 111 , 3
Article #85 , 115 , 2
Article #86 , 102 , 2
Article #87 , 104 , 3
Article #88 , 101 , 1
Article #89 , 103 , 2
Article #90 , 106 , 2
Article #91 , 104 , 2
Article #92 , 112 , 3
Article #93 , 112 , 3
Article #94 , 115 , 2
Article #95 , 117 , 3
Article #96 , 101 , 3
Article #97 , 106 , 3
Article #98 , 112 , 2
Article #99 , 111 , 2
Article #100 , 116 , 2
Article #101 , 101 , 1
Article #109 , 107 , 1
Article #115 , 109 , 2
Article #124 , 102 , 1
Article #141 , 102 , 2
Article #150 , 95 , 2
Article #157 , 89 , 2
Article #166 , 109 , 3
Article #178 , 73 , 2
Article #190 , 95 , 1
Article #192 , 88 , 2
Article #237 , 99 , 2
Article #244 , 101 , 3
Article #245 , 106 , 1
Article #303 , 102 , 2
Article #308 , 112 , 2
Article #323 , 101 , 2
Article #324 , 93 , 3
Article #328 , 101 , 1
Article #332 , 89 , 2
Article #333 , 80 , 3
Article #336 , 99 , 3
Article #339 , 102 , 2
Article #343 , 94 , 2
Article #347 , 93 , 1
Article #350 , 95 , 3
Article #351 , 100 , 1
Article #355 , 103 , 1
Article #363 , 97 , 2
Article #365 , 96 , 1
Article #367 , 104 , 2
Article #370 , 104 , 2
Article #378 , 110 , 3
Article #395 , 107 , 4
Article #398 , 114 , 1
Article #400 , 111 , 1
Article #401 , 100 , 3
Article #402 , 116 , 1
Article #403 , 118 , 1
Article #404 , 116 , 1
Article #405 , 115 , 1
Article #406 , 73 , 3
Article #407 , 111 , 4
Article #413 , 97 , 5
Article #417 , 89 , 1
Article #418 , 91 , 1
Article #421 , 96 , 2
Article #422 , 109 , 2
Article #426 , 82 , 2
Article #429 , 109 , 2
Article #431 , 106 , 2
Article #433 , 89 , 1
Article #434 , 61 , 2
Article #443 , 102 , 1
Article #444 , 111 , 2
Article #445 , 80 , 2
Article #446 , 108 , 1
Article #447 , 93 , 1
Article #450 , 82 , 1
Article #451 , 110 , 2
Article #454 , 80 , 1
Article #456 , 93 , 3
Article #461 , 100 , 1
Article #462 , 102 , 4
Article #463 , 110 , 2
Article #464 , 128 , 1
Article #470 , 97 , 2
Article #475 , 97 , 1
Article #476 , 100 , 2
Article #478 , 104 , 2
Article #480 , 101 , 3
Article #485 , 85 , 1
Article #487 , 103 , 2
Article #488 , 100 , 1
Article #494 , 107 , 1
Article #495 , 82 , 1
Article #502 , 106 , 1
Article #503 , 79 , 1
Article #507 , 88 , 2
Article #508 , 82 , 1
Article #513 , 105 , 2
Article #514 , 114 , 3
Article #516 , 105 , 2
Article #517 , 111 , 1
Article #518 , 97 , 2
Article #524 , 83 , 1
Article #529 , 103 , 3
Article #536 , 91 , 1
Article #563 , 83 , 2
Article #566 , 77 , 1
Article #573 , 89 , 2
Article #574 , 80 , 2
Article #577 , 106 , 1
Article #578 , 92 , 2
Article #582 , 87 , 1
Article #589 , 84 , 1
Article #592 , 102 , 2
Article #598 , 107 , 2
Article #605 , 108 , 2
Article #608 , 107 , 1
Article #610 , 109 , 1
Article #616 , 108 , 2
Article #629 , 107 , 1
Article #633 , 114 , 1
Article #636 , 115 , 2
Article #643 , 116 , 1
Article #652 , 106 , 3
Article #655 , 111 , 1
Article #656 , 116 , 1
Article #657 , 105 , 3
Article #659 , 120 , 2
Article #661 , 105 , 1
Article #662 , 111 , 1
Article #666 , 116 , 1
Article #671 , 109 , 4
Article #682 , 109 , 1
Article #688 , 112 , 2
Article #691 , 101 , 1
Article #694 , 103 , 2
Article #695 , 81 , 1
Article #696 , 128 , 2
Article #700 , 102 , 2
Article #701 , 110 , 7
Article #703 , 111 , 5
Article #704 , 110 , 5
Article #705 , 107 , 2
Article #706 , 117 , 5
Article #707 , 125 , 6
Article #709 , 112 , 7
Article #710 , 66 , 5
Article #711 , 105 , 1
Article #712 , 104 , 2
Article #715 , 106 , 3
Article #716 , 111 , 1
Article #717 , 121 , 2
Article #718 , 114 , 3
Article #719 , 108 , 4
Article #720 , 114 , 5
Article #721 , 97 , 2
Article #722 , 113 , 4
